LocationName,LocationID,Latitude,Longitude,Year,Month,Day,ObservationType,Observation,Species,cultivar,descriptive,catagorical,numeral,location,freeze
Shirley Plantation,p0001,NA,NA,1816,May,1,weather,temperature,NA,NA,summer,cold,,NA,
Shirley Plantation,p0001,NA,NA,1816,May,1,weather,precipitation,NA,NA,summer,dry,,NA,
Shirley Plantation,p0001,NA,NA,1816,May,1,weather,temperature,NA,NA,every month,frost,,NA,freeze
Shirley Plantation,p0001,NA,NA,1816,May,1,agriculture,harvesting,wheat,unspecified,na,bushels,1900,NA,
Shirley Plantation,p0001,NA,NA,1816,May,1,agriculture,harvesting,corn,NA,na,bushels,550,NA,
Shirley Plantation,p0001,NA,NA,1817,December,31,agriculture,pest,wheat,unspecified,fly,NA,,NA,
Shirley Plantation,p0001,NA,NA,1817,December,31,operations,treating,clover,NA,plastering,NA,,NA,
Shirley Plantation,p0001,NA,NA,1817,December,31,weather,precipitation,NA,NA,summer,wet,,NA,
Shirley Plantation,p0001,NA,NA,1817,April,1,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1817,April,1,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1817,July,21,operations,shelling,wheat,unspecified,bushels,NA,,NA,
Shirley Plantation,p0001,NA,NA,1817,August,6,operations,shelling,wheat,white may,bushels,bushels,850,NA,
Shirley Plantation,p0001,NA,NA,1817,August,6,operations,shelling,wheat,red,bushels,bushels,525,NA,
Shirley Plantation,p0001,NA,NA,1817,September,2,operations,treating,NA,NA,gypsum,NA,,field C,
Shirley Plantation,p0001,NA,NA,1817,November,10,agriculture,sowing,wheat,purple straw,bushels,NA,80,NA,
Shirley Plantation,p0001,NA,NA,1817,November,10,agriculture,sowing,wheat,white may,bushels,NA,75,NA,
Shirley Plantation,p0001,NA,NA,1817,November,10,agriculture,sowing,wheat,red,bushels,NA,25,NA,
Shirley Plantation,p0001,NA,NA,1817,November,10,agriculture,sowing,wheat,red,red,bushels,30,NA,
Shirley Plantation,p0001,NA,NA,1818,April,1,agriculture,sowing,corn,NA,NA,NA,,field A,
